we planned a surprise for him,he is going to cry happy tears,happy
i feel ignored in the group,im here for you always da,sad
i saw her with someone else,my heart breaks for you da,love
i failed in group project,my effort went waste da,sad
i love our midnight talks,it means a lot to me da,love
i miss our old hangouts,those memories still live in me,emotional
i feel like nobody wants me,you matter to me da,depression
i shouted at my friend,maybe say sorry things will be fine,angry
he broke the trust i had,thats painful da let it out,angry
im scared for our friendship,real bonds never break da,emotional
he didnt invite me to his party,thats hurtful talk to him,angry
we played ludo till 2am,best way to spend the night,happy
she saved my number finally,big win da congrats,love
i want to cry but i cant,im here da cry if needed,emotional
our gang is splitting up,hearing this hurts da,sad
i feel lonely in the crowd,you are not alone i see you,depression
she asked who i like and smiled,she knows da tell her,love
i miss your silly jokes,they always made my day,happy
they made fun of my dressing,you have your own style da,sad
our photo got so many likes,we look great together da,happy
i saw her helping someone,she has a golden heart da,love
we both said the same thing together,thats best friend vibe da,happy
i couldnt be there when you needed me,its okay i understand,sad
she texted me good night with heart emoji,she cares da thats love,love
we fought and now i regret it,then patch up now da,angry
i got blocked by my best friend,thats heavy da want to talk,depression
she hugged me tight today,thats pure love da,love
we both cried watching that movie,our feelings connect da,emotional
i got scolded in front of everyone,that was harsh da stay strong,sad
we clicked sunset selfies today,those colors match our smiles,happy
he helped me in viva without asking,what a real friend da,emotional


	
